extract_id,source_id,date,extract_status,target_scope,claim_or_context_note,locator,researcher,notes
EXT-001,SRC-TUFS-TARIKH-DIBA-MAHALL-FACSIMILE,2026-02-08,in_progress,Early dynastic succession narratives,Source identified as core Arabic chronicle facsimile with continuations; extraction of named kinship lines pending.,tufs.repo record 7457 metadata page,phase1-batch-a,Priority P0 source for Lunar/Hilaaly/Utheemu corroboration.
EXT-002,SRC-TUFS-TARIKH-DIBA-MAHALL-ANNOT,2026-02-08,in_progress,Name variants and annotation support,Annotation volume identified; use for variant names and index-guided locator mapping.,tufs.repo record 7433 metadata page,phase1-batch-a,Supports conflict resolution and normalization.
EXT-003,SRC-SARUNA-LOAMAAFANU-1982,2026-02-08,in_progress,Inscription-backed early ruler anchors,Loamaafaanu publication queued for extraction of inscriptional names and chronology anchors.,saruna item 3c1c8b78-4aea-480e-95fd-484f3134a881,phase1-batch-a,Priority P0 source for early chain hardening.
EXT-004,SRC-SARUNA-LOAMAAFANU-2003,2026-02-08,in_progress,Secondary interpretation cross-check,Article queued as contextual support after primary inscription extraction.,saruna item 4826d37f-f293-4576-b4df-a5220d9e2f3f,phase1-batch-sweep,Use with primary source corroboration only. Batch sweep moved this extract row to active.
EXT-005,SRC-SARUNA-RAADHAVALHI-1985,2026-02-08,in_progress,Raadhavalhi manuscript tradition,Source queued to map ruler-order framing and lineage terminology into claim ledger.,saruna item 41a49f76-3727-45ef-8156-7a3119262adf,phase1-batch-a,Priority P0 source for early sequence corroboration.
EXT-006,SRC-SARUNA-PYRARD-V2P2-1887,2026-02-08,in_progress,Court offices and governance terminology,Travel narrative extraction started for office/title semantics and protocol vocabulary.,saruna item 47e32876-8c1b-4f3d-91e8-75c6779d7eca metadata page,phase1-batch-b,Feeds concept lexicon and office-role corroboration.
EXT-007,SRC-CORNELL-PYRARD-V1-1887,2026-02-08,in_progress,Early-modern institutional context,Volume I extraction started for governance and social-order terminology index mapping.,cornell catalog sea103a metadata page,phase1-batch-b,To be paired with EXT-006 before promotion decisions.
EXT-008,SRC-HEIDELBERG-BELL-1883,2026-02-08,in_progress,Toponym/chronology corroboration,Bell facsimile queued for corroborative chronology checks and title-style usage.,heidelberg diglit bell1883 entry page,phase1-batch-b,Corroborative layer only; not sole genealogical basis.
EXT-009,SRC-STANDREWS-PEACOCK-2020,2026-02-08,in_progress,Chronicle historiography and factional context,Scholarly interpretation extraction started for contradiction adjudication context.,st-andrews research portal publication record,phase1-batch-b,Interpretive support for evidence narrative and conflict log.
EXT-010,SRC-ARCHIVES-LAW-16-2011,2026-02-08,in_progress,Archival provenance governance,"Law text extraction started for evidence governance, retention, and authenticity standards.",archives.gov.mv archives_law.pdf,phase1-batch-c,Methodology source for citation and archival trust policy.
EXT-011,SRC-ARCHIVES-RECORDS-DISPOSAL,2026-02-08,in_progress,Records lifecycle and disposal controls,Regulation extraction started for disposition and retention handling rules.,archives.gov.mv disposal_of_records.pdf,phase1-batch-c,Methodology source; not used as person-claim evidence.
EXT-012,SRC-PO-TARIKH-LAUNCH-2021,2026-02-08,in_progress,Chronicle significance narrative,Official statement extraction started for user-facing explainer context on Tarikh importance.,presidency press article 24486,phase1-batch-c,Contextual support for explainability layer.
EXT-013,(new-primary-lunar),2026-02-08,in_progress,Lunar dynasty corroboration source discovery,Discovery pass started to identify manuscript and inscriptional sources that can independently corroborate P1-P29 chains.,phase1 batch D discovery log for SRCQ-013,phase1-batch-d,Prioritize sources capable of A/B grade evidence and precise locator extraction.
EXT-014,(new-primary-hilaaly),2026-02-08,in_progress,Hilaaly bridge corroboration source discovery,Discovery pass started to identify independent chronicles and scholarship for P30-P40 bridge-critical links.,phase1 batch D discovery log for SRCQ-014,phase1-batch-d,Targets direct parent/sibling statements and contradiction adjudication material.
EXT-015,(new-primary-dhiyamigili-south),2026-02-08,in_progress,Dhiyamigili and southern branch corroboration source discovery,Discovery pass started for branch-focused records and local-history publications to resolve contested continuity claims.,phase1 batch D discovery log for SRCQ-015,phase1-batch-d,Use to reduce dependence on single-source continuity narratives before promotion decisions.
EXT-016,SRC-PO-AMIN,2026-02-08,in_progress,Official parentage statement extraction,Extracted parentage phrasing for Mohamed Amin profile and mapped to parent claims.,presidency FormerPresident/7 lines 49-52 snapshot,phase1-locator-a,Supports CLM-0236 and CLM-0271.
